	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	64	5	9	62	2	1	48019	16	0	10.6659	 	0	5.04483e-06
DL	64	5	71	70	2	1	36122	24	1	10.6659	 	0	0
DL	64	6	7	83	2	1	64282	16	0	17.6586	 	0	0
UL	64	7	21	1	1	1	1640	26	0	21.454 	0	8.36383e-10
DL	64	7	22	55	2	1	14336	24	0	10.3949	 	1	1
DL	64	8	7	50	2	1	38724	16	0	10.3949	 	0	0
DL	64	8	57	56	2	1	15788	24	1	17.6246	 	0	0
DL	64	8	113	34	2	1	26330	16	0	17.6246	 	0	0
DL	64	9	8	1	2	1	768	16	0	17.6246	 	0	0
UL	65	0	7	1	1	1	1640	26	0	20.9435 	0	1.82229e-08
DL	65	0	8	55	2	1	14336	24	0	10.4338	 	1	1
UL	65	1	7	1	1	1	1640	26	0	20.7871 	0	3.39693e-08
DL	65	1	8	48	2	1	37174	16	0	8.96077	 	1	1
DL	65	1	56	55	2	1	14336	24	1	8.96077	 	0	0
DL	65	1	111	36	2	1	27879	16	0	8.96077	 	1	1
DL	65	2	7	18	2	1	26136	24	0	16.8157	 	0	3.87646e-07
UL	65	3	7	1	1	1	1718	27	0	20.7801 	1	0.241601
DL	65	3	8	1	2	1	1449	24	0	11.1322	 	1	1
UL	65	4	14	1	1	1	1718	27	0	20.455 	1	0.619677
DL	65	4	16	40	2	1	30978	16	0	10.1713	 	0	0.388887
DL	65	4	56	55	2	1	14336	24	1	10.1713	 	0	0
DL	65	4	111	25	2	1	19359	16	0	10.1713	 	0	0.268238
DL	65	5	8	1	2	1	619	14	0	10.1713	 	0	0
DL	65	5	49	48	2	1	37174	16	1	17.6086	 	0	0
DL	65	5	97	36	2	1	27879	16	1	17.6086	 	0	0
UL	65	6	13	1	1	1	1640	26	0	21.4753 	0	1.13618e-09
DL	65	6	14	89	2	1	63716	24	0	17.6086	 	0	0.000201532
UL	65	7	7	1	1	1	1640	26	0	21.2868 	0	2.65893e-09
DL	65	7	8	1	2	1	1449	24	1	9.51135	 	0	0
DL	65	7	10	148	2	1	49095	16	0	9.51135	 	1	1
UL	65	8	1	1	1	1	1718	27	1	21.2868 	0	0
DL	65	8	9	123	2	1	10676	14	0	17.6741	 	0	0
UL	65	9	1	1	1	1	1718	27	1	21.5256 	0	0
UL	65	9	8	1	1	1	1640	26	0	20.4296 	0	6.02533e-07
DL	65	9	10	35	2	1	50826	24	0	17.5867	 	1	0.472993
UL	66	0	7	1	1	1	1640	26	0	20.4296 	0	6.02533e-07
DL	66	0	8	14	2	1	20328	24	0	17.5867	 	0	0.273509
DL	66	1	8	1	2	1	619	14	0	17.6269	 	0	0
UL	66	2	7	1	1	1	1640	26	0	20.985 	0	1.41806e-08
DL	66	2	9	50	2	1	7076	24	0	17.7087	 	0	2.80107e-10
UL	66	3	7	1	1	1	1640	26	0	21.1319 	0	4.51502e-09
DL	66	3	8	28	2	1	35236	22	0	17.7087	 	0	0
DL	66	3	36	35	2	1	50826	24	1	17.6258	 	0	0
DL	66	4	7	58	2	1	7461	22	0	17.6258	 	0	0
UL	66	5	7	1	1	1	1640	26	0	21.1175 	0	1.5833e-08
DL	66	5	8	45	2	1	65349	24	0	11.6013	 	1	1
UL	66	6	14	1	1	1	1640	26	0	21.4389 	0	1.14454e-09
DL	66	6	15	1	2	1	1449	24	0	9.19564	 	1	1
DL	66	7	7	60	2	1	21599	24	0	9.19564	 	1	1
UL	66	8	7	1	1	1	1640	26	0	21.2556 	0	0
DL	66	8	8	55	2	1	14336	24	0	9.85854	 	1	1
UL	66	9	14	1	1	1	1640	26	0	21.9602 	0	0
DL	66	9	16	30	2	1	23232	16	0	12.8223	 	0	0
DL	66	9	46	45	2	1	65349	24	1	12.8223	 	0	0
DL	67	0	7	1	2	1	1449	24	1	12.8223	 	0	0
DL	67	0	9	118	2	1	7578	14	0	12.8223	 	0	0
UL	67	1	7	1	1	1	1718	27	0	21.3172 	0	0.116182
DL	67	1	8	53	2	1	32838	14	0	14.2925	 	0	0
DL	67	1	61	60	2	1	21599	24	1	14.2925	 	0	0
UL	67	2	7	1	1	1	1718	27	0	21.1869 	0	0.134663
DL	67	2	9	47	2	1	29117	14	0	12.348	 	0	0
DL	67	2	56	55	2	1	14336	24	1	12.348	 	0	0
DL	67	3	8	75	2	1	65349	18	0	17.9323	 	0	0
UL	67	4	6	1	1	1	1776	28	0	22.1889 	1	0.992884
DL	67	4	8	1	2	1	865	18	0	17.6907	 	0	0
UL	67	5	14	1	1	1	1776	28	0	21.3425 	1	0.999892
DL	67	5	15	61	2	1	64963	20	0	9.35961	 	1	1
DL	67	6	8	1	2	1	768	16	0	9.35961	 	1	0.963323
UL	67	7	7	1	1	1	1640	26	0	21.9968 	0	1.12879e-10
DL	67	7	8	45	2	1	65349	24	0	13.2934	 	1	1
UL	67	8	14	1	1	1	1640	26	0	20.5451 	0	4.60668e-07
DL	67	8	15	45	2	1	65349	24	0	12.2865	 	1	1
UL	67	9	6	1	1	1	1776	28	1	20.5777 	0	0
DL	67	9	13	1	2	1	619	14	0	12.2865	 	0	0
DL	67	9	62	61	2	1	64963	20	1	17.7072	 	0	0
UL	68	0	1	1	1	1	1776	28	1	20.5777 	0	0
DL	68	0	8	1	2	1	768	16	1	17.7072	 	0	0
DL	68	0	11	35	2	1	21682	14	0	17.7072	 	0	0
UL	68	1	7	1	1	1	1640	26	0	22.2223 	0	0
DL	68	1	9	1	2	1	865	18	0	11.2061	 	0	3.84133e-08
DL	68	1	46	45	2	1	65349	24	1	11.2061	 	0	0
UL	68	2	7	1	1	1	1718	27	0	20.8945 	0	0.236892
