	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	518	9	22	1	2	4	385	10	0	2.21308	 	1	1
DL	519	0	1	22	2	4	8514	10	0	2.21308	 	1	1
DL	519	1	22	1	2	4	385	10	0	2.21308	 	1	1
DL	519	2	1	19	2	4	7354	10	0	2.21308	 	1	1
DL	519	2	20	1	2	1	1776	28	0	45.5266	 	0	0
DL	519	2	21	1	2	2	1776	28	0	31.4206	 	0	0
DL	519	2	22	1	2	3	1776	28	0	36.2916	 	0	0
UL	519	3	1	1	1	1	1351	23	1	7.68366 	0	0
DL	519	3	18	5	2	4	1416	8	0	2.21308	 	0	9.6446e-08
DL	519	4	1	1	2	4	385	10	1	2.21308	 	0	5.82867e-15
DL	519	4	2	16	2	4	4540	8	0	2.21308	 	0	2.89338e-07
DL	519	4	18	1	2	1	1776	28	0	45.5266	 	0	0
DL	519	4	19	1	2	2	1776	28	0	31.4206	 	0	0
DL	519	4	21	1	2	3	1776	28	0	36.2916	 	0	0
DL	519	5	17	6	2	4	1698	8	0	2.21308	 	0	1.44669e-07
DL	519	6	1	22	2	4	8514	10	1	2.21308	 	0	0.000149901
DL	519	7	17	2	2	4	567	8	0	2.21308	 	0	4.8223e-08
DL	519	7	19	2	2	1	3558	28	0	45.5266	 	0	0
DL	519	7	21	1	2	2	1776	28	0	31.4206	 	0	0
DL	519	7	22	1	2	3	1776	28	0	36.2916	 	0	0
DL	519	8	1	19	2	4	7354	10	1	2.41681	 	0	3.37113e-06
DL	519	8	21	1	2	2	1776	28	0	30.236	 	0	0
DL	519	8	22	1	2	3	1776	28	0	44.4142	 	0	0
DL	519	9	17	2	2	4	567	8	0	2.41681	 	0	1.76318e-11
DL	519	9	19	1	2	1	1776	28	0	36.8815	 	0	0
DL	519	9	21	1	2	2	1776	28	0	30.236	 	0	0
DL	519	9	22	1	2	3	1776	28	0	44.4142	 	0	0
UL	520	0	1	1	1	1	696	15	0	15.6213 	0	0
DL	520	0	2	3	2	1	5341	28	0	36.8815	 	0	0
DL	520	0	6	3	2	2	5341	28	0	30.236	 	0	0
DL	520	0	9	3	2	3	5341	28	0	44.4142	 	0	0
DL	520	0	12	11	2	4	3118	8	0	2.41681	 	0	8.81595e-11
DL	520	1	7	16	2	4	4540	8	0	2.41681	 	0	1.05791e-10
DL	520	2	1	19	2	4	5390	8	0	2.41681	 	0	1.41055e-10
DL	520	2	20	1	2	1	1776	28	0	36.8815	 	0	0
DL	520	2	21	1	2	2	1776	28	0	30.236	 	0	0
DL	520	2	22	1	2	3	1776	28	0	44.4142	 	0	0
DL	520	3	7	12	2	4	3403	8	0	2.41681	 	0	8.81595e-11
